GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US53005,53005,"Benton County, Washington",60977,1111,2863,877,1871,598,3231,924,2850,850,3321,910,3571,1182,3127,882,2764,754,2702,901,5475,1082,5388,865,9598,1358,6818,1070,2954,681,3185,795,1259,496
0500000US53007,53007,"Chelan County, Washington",26126,1580,2026,749,1254,468,1477,601,666,339,1387,574,1341,520,1853,680,1267,623,1950,696,3253,1039,2000,718,3101,821,1762,725,1180,514,886,344,723,387
0500000US53009,53009,"Clallam County, Washington",29997,1704,2918,890,1424,574,2857,851,2143,728,1777,548,1716,731,1285,473,1505,510,1924,667,3361,867,2918,724,2906,780,1185,476,936,436,623,333,519,279
0500000US53011,53011,"Clark County, Washington",155095,1997,9464,1621,4601,1061,8243,1481,7387,1337,10073,1516,8586,1609,7560,1511,6064,1020,7123,1437,13691,1931,18728,2006,21011,2221,12614,1724,7933,1259,7091,1285,4926,937
0500000US53015,53015,"Cowlitz County, Washington",38507,1261,2704,727,2844,1049,2615,709,1771,573,1989,674,2762,843,2046,533,2268,800,2111,709,3286,937,4196,887,5417,1103,2212,715,1183,632,894,378,209,224
0500000US53021,53021,"Franklin County, Washington",21346,859,1180,605,1199,567,790,462,1513,585,1874,837,1168,613,1255,541,861,487,1387,644,1840,660,2719,880,2135,684,1396,567,1237,703,509,432,283,212
0500000US53025,53025,"Grant County, Washington",27821,1467,2161,675,1402,623,1811,707,2236,792,1839,707,1245,556,1356,560,1234,475,1512,594,2746,807,3407,965,2758,782,2367,736,560,321,612,283,575,309
0500000US53027,53027,"Grays Harbor County, Washington",27759,1578,2603,760,2418,875,2082,675,2026,614,1853,682,2207,670,1861,579,1625,592,1614,627,1813,639,1809,568,2561,723,2258,659,463,299,245,297,321,213
0500000US53029,53029,"Island County, Washington",31710,1509,1138,500,1461,614,1280,555,1650,625,1740,651,2601,810,1699,583,1327,513,1604,649,2753,762,3755,750,5075,1103,2228,609,1268,378,1196,447,935,386
