GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",517600,81494
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",348300,8682
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",338800,12787
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",319300,39103
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",371700,24128
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",581500,41421
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",355600,12090
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",359600,22153
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",402800,33786
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",681800,112479
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",426100,40766
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",388600,25463
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",321600,60299
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",336200,70506
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",433800,22910
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",593800,51789
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",609900,37072
1400000US53033001700,53033001700,"Census Tract 17, King County, Washington",362800,19349
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",360000,12662
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",382900,35716
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",402600,21386
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",404000,26759
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",594500,43690
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",479800,20345
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",468400,22820
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",506000,37893
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",511700,41565
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",462200,35886
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",466500,16341
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",453900,11884
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",490600,28657
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",494100,40334
