GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US53005,53005,"Benton County, Washington",72265,1321,4062,1091,3202,1093,2959,956,3391,1069,3054,1011,2454,1041,1832,661,2879,987,4022,1071,6314,1383,7503,1341,9588,1400,7044,1161,4827,1046,4630,1062,4504,949
0500000US53007,53007,"Chelan County, Washington",27060,1626,2371,863,1077,535,1034,716,1064,500,970,414,1429,764,1161,660,1398,584,1158,630,1547,552,2817,942,3690,1062,2713,964,1685,670,1588,738,1358,695
0500000US53009,53009,"Clallam County, Washington",33233,994,2254,679,2069,664,1901,583,2326,683,2038,636,1744,581,1925,711,1367,449,1926,720,2399,727,2102,649,3811,920,2511,709,1342,552,2208,815,1310,466
0500000US53011,53011,"Clark County, Washington",173579,2122,8449,1483,5573,1146,5372,1080,6725,1185,3970,872,5963,1200,7068,1516,6953,1167,6394,1152,12555,1521,17983,2361,27141,2624,19489,2268,14974,1957,12045,1469,12925,1628
0500000US53015,53015,"Cowlitz County, Washington",41611,1081,2844,832,1704,623,2485,747,2948,883,2543,762,1947,666,2183,736,1401,522,3075,889,2371,774,4503,1068,6213,1288,3474,903,1183,520,1784,611,953,496
0500000US53021,53021,"Franklin County, Washington",26477,798,658,371,899,667,1024,587,1686,810,918,522,1058,561,1180,647,1170,680,1371,802,2756,924,1936,656,4244,997,4414,992,1074,437,968,530,1121,562
0500000US53025,53025,"Grant County, Washington",31123,1359,1545,632,1378,777,914,507,2245,803,1812,718,1197,486,1553,680,980,494,1794,648,2392,772,3792,1043,4149,869,3635,852,1456,572,1272,535,1009,461
0500000US53027,53027,"Grays Harbor County, Washington",29286,1312,2766,783,1721,631,1497,684,1985,658,877,362,1671,671,869,382,2638,830,1440,523,2395,704,3903,829,4285,902,1311,517,1090,431,648,306,190,179
0500000US53029,53029,"Island County, Washington",34537,1361,1295,429,1855,635,1673,713,1274,507,1030,512,1589,637,2274,707,2193,772,1445,655,2663,782,4802,954,3542,840,3081,680,1703,624,2388,647,1730,603
