GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",6175,613,3922,368,635,284,93,114,772,281,0,119,307,222,446,244,9,22,437,239
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",7737,640,5999,686,115,123,37,47,1045,198,60,102,109,134,372,192,0,119,372,192
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",2530,208,1938,190,43,40,20,23,390,98,0,119,25,33,114,74,48,61,66,46
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",5057,437,3162,430,718,331,129,102,642,249,11,18,157,149,238,122,13,21,225,124
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",4768,497,3593,408,484,303,113,116,181,115,47,73,16,25,334,205,0,119,334,205
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",3456,199,2907,235,22,35,16,23,353,179,0,119,7,13,151,74,14,20,137,73
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",7517,620,4589,333,910,633,20,30,1360,355,111,106,142,108,385,224,0,119,385,224
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",4820,376,2908,464,591,317,0,119,1059,356,0,119,167,163,95,64,24,37,71,53
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",2820,264,2237,293,163,146,0,119,254,85,0,119,9,14,157,104,0,119,157,104
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",2060,119,1808,233,0,119,0,119,90,122,0,119,0,119,162,132,0,119,162,132
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",2094,328,1633,260,0,119,13,22,317,287,0,119,131,194,0,119,0,119,0,119
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",2556,160,1927,198,169,210,0,119,183,89,8,15,84,98,185,109,0,119,185,109
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",5868,371,4038,410,311,146,81,78,1144,259,11,18,75,75,208,106,36,50,172,91
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",4119,296,2582,352,534,337,0,119,709,209,0,119,93,150,201,205,0,119,201,205
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",4890,646,3989,607,148,148,23,29,216,112,0,119,58,45,456,213,13,21,443,211
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",2443,152,2271,170,0,119,5,8,129,67,0,119,0,119,38,31,0,119,38,31
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",4361,214,3850,199,35,31,39,39,239,116,0,119,18,28,180,153,0,119,180,153
