GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",3779,179,1101,141,2678,182
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",3654,143,2067,175,1587,204
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",1187,33,700,96,487,98
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",3760,204,984,183,2776,244
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",2437,119,1012,164,1425,175
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",1251,71,1177,79,74,41
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",3413,134,1747,182,1666,207
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",2222,129,1135,133,1087,159
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",1067,70,740,80,327,74
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",868,64,726,72,142,44
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",765,46,496,60,269,66
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",1092,76,793,83,299,98
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",3781,178,936,166,2845,219
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",2263,112,1090,173,1173,177
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",2333,103,1502,135,831,160
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",1118,57,841,78,277,83
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",1858,77,1507,99,351,82
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",2000,86,924,134,1076,145
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",2274,85,1326,160,948,155
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",2289,120,1127,162,1162,197
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",2264,81,1322,107,942,106
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",1668,67,1020,95,648,97
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",1782,77,1151,106,631,103
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",2306,107,1939,139,367,102
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",1309,48,918,77,391,78
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",1311,57,917,78,394,62
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",1935,102,1337,113,598,114
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",2462,53,1673,172,789,161
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",2179,135,1235,143,944,184
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",1953,53,1278,92,675,103
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",2608,64,1856,166,752,162
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",2779,78,2190,162,589,156
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",4251,188,2105,254,2146,275
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",3301,150,1657,183,1644,180
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",1550,66,931,109,619,105
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",1881,79,1052,83,829,92
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",3542,162,1130,150,2412,230
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",868,59,628,52,240,59
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",1191,52,923,68,268,66
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",1393,63,899,85,494,81
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",2879,154,1992,176,887,151
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",3331,105,2579,181,752,165
1400000US53033004301,53033004301,"Census Tract 43.01, King County, Washington",1450,66,774,81,676,101
1400000US53033004302,53033004302,"Census Tract 43.02, King County, Washington",1511,121,113,60,1398,131
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",2686,144,664,130,2022,172
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",1024,66,659,81,365,82
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",1447,68,899,85,548,100
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",5328,240,1456,229,3872,335
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",2202,129,1323,163,879,161
1400000US53033004900,53033004900,"Census Tract 49, King County, Washington",3754,116,809,174,2945,170
1400000US53033005000,53033005000,"Census Tract 50, King County, Washington",2061,151,507,115,1554,184
1400000US53033005100,53033005100,"Census Tract 51, King County, Washington",1655,97,1055,87,600,106
1400000US53033005200,53033005200,"Census Tract 52, King County, Washington",2959,213,511,137,2448,225
1400000US53033005301,53033005301,"Census Tract 53.01, King County, Washington",2864,200,58,40,2806,205
1400000US53033005302,53033005302,"Census Tract 53.02, King County, Washington",127,32,0,12,127,32
1400000US53033005400,53033005400,"Census Tract 54, King County, Washington",3028,152,1340,162,1688,203
