GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",525300,64461
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",384100,18017
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",397700,25741
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",324700,41396
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",438200,40489
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",690300,39551
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",447500,26548
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",342000,28342
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",465800,20500
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",722500,38329
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",510700,41050
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",464800,31679
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",363100,59231
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",414600,55243
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",506600,43316
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",710000,58667
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",759200,57174
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",371100,33591
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",409300,48341
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",439000,30826
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",421000,25623
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",474600,29413
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",526100,52371
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",719200,48791
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",571700,42938
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",551900,39566
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",612000,29530
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",644600,38485
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",580700,41287
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",598200,20005
